CODE;NAME;TOTAL;PER_KM
1422;   przasnyski;52824;43
1423;   przysuski;41922;52
1424;   pułtuski;51809;63
1425;   radomski;152117;99
1426;   siedlecki;81352;51
1427;   sierpecki;52196;61
1428;   sochaczewski;85105;116
1429;   sokołowski;54217;48
1430;   szydłowiecki;39864;88
1432;   warszawski zachodni;117007;219
1433;   węgrowski;66174;54
1434;   wołomiński;245357;257
1435;   wyszkowski;74065;85
1436;   zwoleński;36328;63
1437;   żuromiński;38944;48
1438;   żyrardowski;75848;142
1461;   Ostrołęka;52262;1562
1462;   Płock;120000;1363
1463;   Radom;213029;1905
1464;   Siedlce;77872;2444
1465;   m.st. Warszawa;1777972;3437
1601;   brzeski;90275;103
1602;   głubczycki;45883;68
1603;   kędzierzyńsko-kozielski;94487;151
1604;   kluczborski;65837;77
1605;   krapkowicki;63942;145
1606;   namysłowski;42688;57
1607;   nyski;136946;112
1608;   oleski;64602;66
1609;   opolski;123520;81
1610;   prudnicki;55524;97
1611;   strzelecki;74665;100
1661;   Opole;128137;861
1801;   bieszczadzki;21879;19
1802;   brzozowski;65713;122
1803;   dębicki;135471;174
1804;   jarosławski;120714;117
1805;   jasielski;113962;137
1806;   kolbuszowski;62476;81
1807;   krośnieński;112414;113
1821;   leski;26562;32
1808;   leżajski;69562;119
1809;   lubaczowski;55652;43
1810;   łańcucki;80834;179
1811;   mielecki;136673;155
1812;   niżański;66843;85
1813;   przemyski;74398;61
1814;   przeworski;78458;112
1815;   ropczycko-sędziszowski;74374;136
1816;   rzeszowski;168167;147
1817;   sanocki;94758;82
1818;   stalowowolski;106619;128
1819;   strzyżowski;61558;122
1820;   tarnobrzeski;53236;102
1861;   Krosno;46511;1069
1862;   Przemyśl;61251;1327
1863;   Rzeszów;193883;1531
1864;   Tarnobrzeg;47047;551
2001;   augustowski;58367;35
2002;   białostocki;148145;50
2003;   bielski;54863;40
2004;   grajewski;47518;49
2005;   hajnowski;43143;27
2006;   kolneński;38396;41
2007;   łomżyński;51000;38
2008;   moniecki;40712;29
2009;   sejneński;20092;23
2010;   siemiatycki;44689;31
2011;   sokólski;67466;33
2012;   suwalski;35792;27
2013;   wysokomazowiecki;57248;44
2014;   zambrowski;43816;60
2061;   Białystok;297459;2913
2062;   Łomża;63000;1928
2063;   Suwałki;69827;1066
2201;   bytowski;79299;36
2202;   chojnicki;97551;72
2203;   człuchowski;56370;36
2204;   gdański;116199;146
2205;   kartuski;136619;122
2206;   kościerski;72528;62
2207;   kwidzyński;83291;100
2208;   lęborski;66280;94
2209;   malborski;63748;129
2210;   nowodworski;35746;53
2211;   pucki;85726;148
2212;   słupski;98816;43
2213;   starogardzki;128004;95
2216;   sztumski;41569;57
2214;   tczewski;115876;166
2215;   wejherowski;215908;168
2261;   Gdańsk;466631;1781
2262;   Gdynia;246309;1823
2263;   Słupsk;91007;2109
2264;   Sopot;36046;2086
2401;   będziński;148762;409
2402;   bielski;165000;360
2414;   bieruńsko-lędziński;59760;378
2403;   cieszyński;178139;244
2404;   częstochowski;134919;89
2405;   gliwicki;115558;174
2406;   kłobucki;84924;96
2407;   lubliniecki;76593;93
2408;   mikołowski;98373;422
2409;   myszkowski;71119;148
2410;   pszczyński;111202;236
2411;   raciborski;108513;200
2412;   rybnicki;78104;349
2413;   tarnogórski;139833;217
2415;   wodzisławski;157616;550
2416;   zawierciański;118434;118
2417;   żywiecki;153226;147
2461;   Bielsko-Biała;171259;1375
2462;   Bytom;166795;2402
2463;   Chorzów;108434;3262
2464;   Częstochowa;222292;1392
2465;   Dąbrowa Górnicza;120259;637
2466;   Gliwice;179806;1343
2467;   Jastrzębie-Zdrój;89128;1045
2468;   Jaworzno;91563;600
2469;   Katowice;294510;1789
2470;   Mysłowice;74586;1137
2471;   Piekary Śląskie;55299;1383
2472;   Ruda Śląska;138000;1775
2473;   Rybnik;138696;935
2474;   Siemianowice Śląskie;67154;2633
2475;   Sosnowiec;202036;2219
2476;   Świętochłowice;50012;3757
2477;   Tychy;127831;1563
2478;   Zabrze;173374;2156
2479;   Żory;62456;966
2601;   buski;72058;74
2602;   jędrzejowski;86076;68
2603;   kazimierski;33851;80
2604;   kielecki;210694;94
2605;   konecki;80648;71
2606;   opatowski;52577;58
2607;   ostrowiecki;110127;179
2608;   pińczowski;39271;64
2609;   sandomierski;77773;115
2610;   skarżyski;74817;189
2611;   starachowicki;90377;173
2612;   staszowski;72167;78
2613;   włoszczowski;45336;50
2661;   Kielce;195774;1785
2801;   bartoszycki;57916;44
2802;   braniewski;41391;34
2803;   działdowski;65442;69
2804;   elbląski;57549;41
2805;   ełcki;91359;82
2806;   giżycki;56754;51
2818;   gołdapski;26908;35
2807;   iławski;93020;67
2808;   kętrzyński;62924;52
2809;   lidzbarski;41512;45
2810;   mrągowski;50080;47
2811;   nidzicki;33068;34
2812;   nowomiejski;43997;63
2813;   olecki;34433;39
2814;   olsztyński;126018;44
2815;   ostródzki;104780;59
2816;   piski;56570;32
2817;   szczycieński;69885;36
2819;   węgorzewski;22873;33
2861;   Elbląg;120142;1505
2862;   Olsztyn;172362;1951
3001;   chodzieski;47229;69
3002;   czarnkowsko-trzcianecki;87420;48
3003;   gnieźnieński;145317;116
3004;   gostyński;76011;94
3005;   grodziski;51972;81
