symbol,name,parent
4531,"Sprzedaż hurtowa części i akcesoriów do pojazdów samochodowych, z wyłączeniem motocykli",453
4532,"Sprzedaż detaliczna części i akcesoriów do pojazdów samochodowych, z wyłączeniem motocykli",453
4540,"Sprzedaż hurtowa i detaliczna motocykli, ich naprawa i konserwacja oraz sprzedaż hurtowa i detaliczna części i akcesoriów do nich",454
4611,"Działalność agentów zajmujących się sprzedażą płodów rolnych, żywych zwierząt, surowców dla przemysłu tekstylnego i półproduktów",461
4612,"Działalność agentów zajmujących się sprzedażą paliw, rud, metali i chemikaliów przemysłowych",461
4613,Działalność agentów zajmujących się sprzedażą drewna i materiałów budowlanych,461
4614,"Działalność agentów zajmujących się sprzedażą maszyn, urządzeń przemysłowych, statków i samolotów",461
4615,"Działalność agentów zajmujących się sprzedażą mebli, artykułów gospodarstwa domowego i drobnych wyrobów metalowych",461
4616,"Działalność agentów zajmujących się sprzedażą wyrobów tekstylnych, odzieży, wyrobów futrzarskich, obuwia i artykułów skórzanych",461
4617,"Działalność agentów zajmujących się sprzedażą żywności, napojów i wyrobów tytoniowych",461
4618,Działalność agentów specjalizujących się w sprzedaży pozostałych określonych towarów,461
4619,Działalność agentów zajmujących się sprzedażą towarów różnego rodzaju,461
4621,"Sprzedaż hurtowa zboża, nieprzetworzonego tytoniu, nasion i pasz dla zwierząt",462
4622,Sprzedaż hurtowa kwiatów i roślin,462
4623,Sprzedaż hurtowa żywych zwierząt,462
4624,Sprzedaż hurtowa skór,462
4631,Sprzedaż hurtowa owoców i warzyw,463
4632,Sprzedaż hurtowa mięsa i wyrobów z mięsa,463
4633,"Sprzedaż hurtowa mleka, wyrobów mleczarskich, jaj, olejów i tłuszczów jadalnych",463
4634,Sprzedaż hurtowa napojów alkoholowych i bezalkoholowych,463
4635,Sprzedaż hurtowa wyrobów tytoniowych,463
4636,"Sprzedaż hurtowa cukru, czekolady, wyrobów cukierniczych i piekarskich",463
4637,"Sprzedaż hurtowa herbaty, kawy, kakao i przypraw",463
4638,"Sprzedaż hurtowa pozostałej żywności, włączając ryby, skorupiaki i mięczaki",463
4639,"Sprzedaż hurtowa niewyspecjalizowana żywności, napojów i wyrobów tytoniowych",463
6202,Działalność związana z doradztwem w zakresie informatyki,620
6203,Działalność związana z zarządzaniem urządzeniami informatycznymi,620
6209,Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych,620
6311,Przetwarzanie danych; zarządzanie stronami internetowymi (hosting) i podobna działalność,631
6312,Działalność portali internetowych,631
6391,Działalność agencji informacyjnych,639
6399,"Pozostała działalność usługowa w zakresie informacji, gdzie indziej niesklasyfikowana",639
6411,Działalność banku centralnego,641
6419,Pozostałe pośrednictwo pieniężne,641
6420,Działalność holdingów finansowych,642
6430,"Działalność trustów, funduszów i podobnych instytucji finansowych",643
6491,Leasing finansowy,649
6492,Pozostałe formy udzielania kredytów,649
6499,"Pozostała finansowa działalność usługowa, gdzie indziej niesklasyfikowana, z wyłączeniem ubezpieczeń i funduszów emerytalnych",649
6511,Ubezpieczenia na życie,651
6512,Pozostałe ubezpieczenia osobowe oraz ubezpieczenia majątkowe,651
6520,Reasekuracja,652
6530,Fundusze emerytalne,653
6611,Zarządzanie rynkami finansowymi,661
6612,Działalność maklerska związana z rynkiem papierów wartościowych i towarów giełdowych,661
6619,"Pozostała działalność wspomagająca usługi finansowe, z wyłączeniem ubezpieczeń i funduszów emerytalnych",661
6621,Działalność związana z oceną ryzyka i szacowaniem poniesionych strat,662
6622,Działalność agentów i brokerów ubezpieczeniowych,662
