CODE,NAME,TOTAL,PER_KM
1209,MYŚLENICKI,127028,189
1210,NOWOSĄDECKI,216176,139
1211,NOWOTARSKI,191508,130
1212,OLKUSKI,112035,181
1213,OŚWIĘCIMSKI,153737,379
1214,PROSZOWICKI,43523,105
1215,SUSKI,84255,123
1216,TARNOWSKI,201570,143
1217,TATRZAŃSKI,68146,144
1218,WADOWICKI,160130,248
1219,WIELICKI,127078,309
1261,KRAKÓW,771069,2359
1262,NOWYSĄCZ,83896,1457
1263,TARNÓW,109062,1507
1401,BIAŁOBRZESKI,33551,52
1402,CIECHANOWSKI,89670,85
1403,GARWOLIŃSKI,108993,85
1404,GOSTYNIŃSKI,45203,74
1405,GRODZISKI,94091,256
1406,GRÓJECKI,98451,78
1407,KOZIENICKI,60472,66
1408,LEGIONOWSKI,116775,299
1409,LIPSKI,34214,46
1410,ŁOSICKI,31023,40
1411,MAKOWSKI,45247,43
1412,MIŃSKI,153824,132
1413,MŁAWSKI,73102,62
1414,NOWODWORSKI,79291,114
1415,OSTROŁĘCKI,88735,42
1416,OSTROWSKI,72782,60
1417,OTWOCKI,124036,201
1418,PIASECZYŃSKI,184951,298
1419,PŁOCKI,111088,62
1420,PŁOŃSKI,87409,63
1421,PRUSZKOWSKI,164240,667
1422,PRZASNYSKI,52824,43
1423,PRZYSUSKI,41922,52
1424,PUŁTUSKI,51809,63
1425,RADOMSKI,152117,99
1426,SIEDLECKI,81352,51
1427,SIERPECKI,52196,61
1428,SOCHACZEWSKI,85105,116
1429,SOKOŁOWSKI,54217,48
1430,SZYDŁOWIECKI,39864,88
1432,WARSZAWSKIZACHODNI,117007,219
1433,WĘGROWSKI,66174,54
1434,WOŁOMIŃSKI,245357,257
1435,WYSZKOWSKI,74065,85
1436,ZWOLEŃSKI,36328,63
1437,ŻUROMIŃSKI,38944,48
1438,ŻYRARDOWSKI,75848,142
1461,OSTROŁĘKA,52262,1562
1462,PŁOCK,120000,1363
1463,RADOM,213029,1905
1464,SIEDLCE,77872,2444
1465,M.ST.WARSZAWA,1777972,3437
1601,BRZESKI,90275,103
1602,GŁUBCZYCKI,45883,68
1603,KĘDZIERZYŃSKO-KOZIELSKI,94487,151
1604,KLUCZBORSKI,65837,77
1605,KRAPKOWICKI,63942,145
1606,NAMYSŁOWSKI,42688,57
1607,NYSKI,136946,112
1608,OLESKI,64602,66
1609,OPOLSKI,123520,81
1610,PRUDNICKI,55524,97
1611,STRZELECKI,74665,100
1661,OPOLE,128137,861
1801,BIESZCZADZKI,21879,19
1802,BRZOZOWSKI,65713,122
1803,DĘBICKI,135471,174
1804,JAROSŁAWSKI,120714,117
1805,JASIELSKI,113962,137
1806,KOLBUSZOWSKI,62476,81
1807,KROŚNIEŃSKI,112414,113
1821,LESKI,26562,32
1808,LEŻAJSKI,69562,119
1809,LUBACZOWSKI,55652,43
1810,ŁAŃCUCKI,80834,179
1811,MIELECKI,136673,155
1812,NIŻAŃSKI,66843,85
1813,PRZEMYSKI,74398,61
1814,PRZEWORSKI,78458,112
1815,ROPCZYCKO-SĘDZISZOWSKI,74374,136
1816,RZESZOWSKI,168167,147
1817,SANOCKI,94758,82
1818,STALOWOWOLSKI,106619,128
1819,STRZYŻOWSKI,61558,122
1820,TARNOBRZESKI,53236,102
1861,KROSNO,46511,1069
1862,PRZEMYŚL,61251,1327
1863,RZESZÓW,193883,1531
1864,TARNOBRZEG,47047,551
2001,AUGUSTOWSKI,58367,35
2002,BIAŁOSTOCKI,148145,50
2003,BIELSKI,54863,40
2004,GRAJEWSKI,47518,49
2005,HAJNOWSKI,43143,27
2006,KOLNEŃSKI,38396,41
2007,ŁOMŻYŃSKI,51000,38
2008,MONIECKI,40712,29
2009,SEJNEŃSKI,20092,23
2010,SIEMIATYCKI,44689,31
2011,SOKÓLSKI,67466,33
2012,SUWALSKI,35792,27
2013,WYSOKOMAZOWIECKI,57248,44
2014,ZAMBROWSKI,43816,60
2061,BIAŁYSTOK,297459,2913
2062,ŁOMŻA,63000,1928
2063,SUWAŁKI,69827,1066
2201,BYTOWSKI,79299,36
2202,CHOJNICKI,97551,72
2203,CZŁUCHOWSKI,56370,36
2204,GDAŃSKI,116199,146
2205,KARTUSKI,136619,122
2206,KOŚCIERSKI,72528,62
2207,KWIDZYŃSKI,83291,100
2208,LĘBORSKI,66280,94
2209,MALBORSKI,63748,129
2210,NOWODWORSKI,35746,53
2211,PUCKI,85726,148
2212,SŁUPSKI,98816,43
2213,STAROGARDZKI,128004,95
2216,SZTUMSKI,41569,57
2214,TCZEWSKI,115876,166
2215,WEJHEROWSKI,215908,168
2261,GDAŃSK,466631,1781
2262,GDYNIA,246309,1823
2263,SŁUPSK,91007,2109
2264,SOPOT,36046,2086
2401,BĘDZIŃSKI,148762,409
2402,BIELSKI,165000,360
2414,BIERUŃSKO-LĘDZIŃSKI,59760,378
2403,CIESZYŃSKI,178139,244
2404,CZĘSTOCHOWSKI,134919,89
2405,GLIWICKI,115558,174
2406,KŁOBUCKI,84924,96
2407,LUBLINIECKI,76593,93
2408,MIKOŁOWSKI,98373,422
2409,MYSZKOWSKI,71119,148
2410,PSZCZYŃSKI,111202,236
2411,RACIBORSKI,108513,200
2412,RYBNICKI,78104,349
